Unnamed: 0,sid,DOI,published,projectname,sampleid,samplename,composition,comments,sampleinfo,Temperature,Seebeck coefficient,figureid,Thermal conductivity,Electrical resistivity,Carrier mobility,ZT,Electrical conductivity,Power factor,Hall mobility,Figure of merit Z,Hall movility,Lattice thermal conductivity,thermopower,phonon thermal conductance,Carrier thermal conductivity,phonon contribution,Electronic thermal conductivity,Electronic contribution,hall density,Carrier concentration,Hall coefficient,Calculated Electrical Conductivity,Calculated PF,Figure of merit,Calculated Electrical Conductivity/ Relaxation time,Calculated Seebeck coefficient,Calculated Thermal Conductivity/ Relaxation time,Thermal diffusivity,total thermal conductivity,Lattice contribution,latice contribution,electron thermal conductivity,Figure of merit Zt,Electro Motive Force,Mobility,Nernst coefficient,Electrical conductivity0,Thermopower,Thermoelectric voltage,Thermo gravimetry,Thermal conductance,conductance,TEP,T^(-1),S,Seebeck  coefficient ,Voltage,Max Efficiency,Normalised PL Integrated Intensity,Linewidth,Phonon transmission function,ρ,Lorenz values,magnetoresistance,Resistance,Conductivity,Luminescence lifetime,magnetization_Bohr,inverse susceptibility,Elastic modulus,Coercivity Field,magnetization_per_weight,Resistivity,Remanent Magnetization_Absolute,absolute_magnetization,Open circuit voltage ,Hall concentration,Contact resistivity,Magnetic field strength (H),Magnetization,a.u. Magnetic Moment,conductivity,zero-B thermopower,minority carrier concentration,majority carrier concentration,magnetic susceptibility,Magnetic susceptibility_per_weight,Specific heat,Magnetic susceptibility_volume,inverse magnetic susceptibility_mol,Cp,dc magnetization(mass),Calculated Electrical resistivity,Electrical thermal conductivity,Specific heat capacity,Magnetic susceptibility_per mol,Magnetic susceptibility,Specific heat capacity_per g,Seebeck  coefficient,Mass susceptibility,Inverse magnetic susceptibility,Liquid state thermal conductivity,Lattice+bipolar thermal conductivity,Logρ,ln σ,logσ,Lnρ
26879,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2866,x=0.6,Co2Mn0.4Ti0.6Sn,,,100,2.1364656180545423e-08,1906,3.4352631921073575,3.6950765340166783e-06,,,,,,,,2.726790411587665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26880,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2866,x=0.6,Co2Mn0.4Ti0.6Sn,,,150,-4.6520696778042914e-07,1906,3.285476876513536,3.783661332489912e-06,,,,,,,,2.2805029844167706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26881,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2866,x=0.6,Co2Mn0.4Ti0.6Sn,,,200,-1.5785097625701322e-06,1906,3.4872690286016352,3.87498234972192e-06,,,,,,,,2.206433947659378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26882,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2866,x=0.6,Co2Mn0.4Ti0.6Sn,,,250,-3.2638999574631893e-06,1906,3.6415135057153742,3.963259210223981e-06,,,,,,,,2.105748034275988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26883,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2866,x=0.6,Co2Mn0.4Ti0.6Sn,,,300,-5.642153346177498e-06,1906,,4.05422034831119e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26884,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2866,x=0.6,Co2Mn0.4Ti0.6Sn,,,350,-9.445225853530377e-06,1906,,4.165211047724533e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26885,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2868,x=0.8,Co2Mn0.2Ti0.8Sn,,,50,3.531805608191083e-07,1906,2.395243933860521,1.363812041258493e-05,,,,,,,,2.343605439110875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26886,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2868,x=0.8,Co2Mn0.2Ti0.8Sn,,,100,2.3232074565789047e-07,1906,2.167073324075315,1.413315757695213e-05,,,,,,,,1.9997761137123649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26887,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2868,x=0.8,Co2Mn0.2Ti0.8Sn,,,150,-4.115871676209105e-07,1906,1.9943752266868529,1.4888270856313664e-05,,,,,,,,1.734114772128907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26888,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2868,x=0.8,Co2Mn0.2Ti0.8Sn,,,200,-2.138148804028635e-06,1906,2.1339626274288688,1.5754030822873956e-05,,,,,,,,1.814523770784275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26889,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2868,x=0.8,Co2Mn0.2Ti0.8Sn,,,250,-5.641880690001414e-06,1906,2.121593152232839,1.6578572315204156e-05,,,,,,,,1.7506302434285226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26890,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2868,x=0.8,Co2Mn0.2Ti0.8Sn,,,300,-1.108657842727174e-05,1906,,1.7262222675423373e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26891,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2868,x=0.8,Co2Mn0.2Ti0.8Sn,,,350,-1.743968486674002e-05,1906,,1.7812129986379928e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26892,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2871,x=1,Co2TiSn,,,50,-2.099039368375657e-06,1906,6.120638658452694,2.4649296924297625e-06,,,,,,,,6.131674716786042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26893,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2871,x=1,Co2TiSn,,,100,-3.962604128430546e-06,1906,5.552783629739158,2.572429466393716e-06,,,,,,,,5.506459500732102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26894,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2871,x=1,Co2TiSn,,,150,-6.110146119283538e-06,1906,5.1496214907213265,2.7149158808275538e-06,,,,,,,,4.97094356197807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26895,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2871,x=1,Co2TiSn,,,200,-1.058592125466538e-05,1906,5.644683039950324,2.8973751419048975e-06,,,,,,,,5.2377393345023195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
