Host,Composition,Crystal Category,Dopant Material,Concentration,Dopant Site,Temperature,Seebeck Coefficient,Electrical Resistivity,Electrical Conductivity (S/m),Crystal Structure,Microstructure,Experimental Preparation Notes,Paper (hyperlink),,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,324.7473,-15.0152,1.37E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,353.3199,-11.8280,1.49E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,365.6559,-10.4010,1.53E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,394.3441,-9.8721,1.57E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,27.8437,0.0568,1.11E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,48.1730,-2.2644,1.11E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,69.1942,-5.4872,1.12E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,90.8719,-8.8049,1.14E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,113.2105,-12.3122,1.16E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,140.7651,-15.7234,1.19E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,180.0052,-17.7552,1.25E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,X2YZ,Al,0.2,Ga,208.7285,-18.0332,1.30E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
